addr          name                           size  callers
0050:375c     thunk_FUN_0050_2c3f               3  FUN_0050_3760,FUN_0050_3fbd,FUN_0050_4116,FUN_0050_42a0
0050:375f     FUN_0050_375f                     1  FUN_0050_36e5
0050:3760     FUN_0050_3760                   419  FUN_0050_36e5
0050:3907     FUN_0050_3907                    50  FUN_0050_3760,FUN_0050_3907
0050:3939     FUN_0050_3939                   700  FUN_0050_3760
0050:3bf7     FUN_0050_3bf7                   485  FUN_0050_3939
0050:3ddf     FUN_0050_3ddf                   375  FUN_0050_3939
0050:3f58     FUN_0050_3f58                    77  FUN_0050_3ddf
0050:3fa5     FUN_0050_3fa5                    24  FUN_0050_3ddf
0050:3fbd     FUN_0050_3fbd                   255  FUN_0050_3ddf
0050:40bd     FUN_0050_40bd                    89  FUN_0050_3939
0050:4116     FUN_0050_4116                   285  FUN_0050_3760
0050:4233     FUN_0050_4233                    22  FUN_0050_4116
0050:4266     FUN_0050_4266                    33  FUN_0050_ca40
0050:4271     FUN_0050_4271                    41  FUN_0050_3f58,FUN_0050_4116,FUN_0050_42a0
0050:429d     thunk_FUN_0050_2db8               3  FUN_0050_42a0
0050:42a0     FUN_0050_42a0                   614  FUN_0050_464e
0050:450a     FUN_0050_450a                    17  FUN_0050_42a0
0050:451b     FUN_0050_451b                   189  FUN_0050_42a0
0050:45d9     FUN_0050_45d9                    21  FUN_0050_42a0
0050:45ee     FUN_0050_45ee                    10  FUN_0050_3760,FUN_0050_3939,FUN_0050_3fa5
0050:45f8     thunk_FUN_0050_2e1e               3  FUN_0050_3760,FUN_0050_3907,FUN_0050_3939,FUN_0050_3bf7,FUN_0050_3ddf
0050:45fb     thunk_FUN_0050_2e27               3  FUN_0050_3939
0050:4601     thunk_FUN_0050_2c70               3  FUN_0050_3ddf,FUN_0050_3fbd
0050:4604     FUN_0050_4604                     6  FUN_0050_3ddf
0050:460a     thunk_FUN_0050_2c0f               3  FUN_0050_3bf7
0050:460d     FUN_0050_460d                     1  FUN_0050_4640
0050:460e     FUN_0050_460e                     4  FUN_0050_3760,FUN_0050_3ddf,FUN_0050_3fbd,FUN_0050_42a0,FUN_0050_4640
0050:4612     FUN_0050_4612                     4  FUN_0050_3939,FUN_0050_3fa5
0050:4616     FUN_0050_4616                    23  FUN_0050_3fa5
0050:462d     FUN_0050_462d                    19  FUN_0050_3760
0050:4640     FUN_0050_4640                     7  FUN_0050_3ddf
0050:4647     FUN_0050_4647                     7  FUN_0050_36e5
0050:464e     FUN_0050_464e                     6  FUN_0050_3939
0050:4654     FUN_0050_4654                    10  FUN_0050_3760,FUN_0050_3907
0050:4660     FUN_0050_4660                    66  FUN_0050_464e
0050:46af     thunk_FUN_0050_2c3f               3  FUN_0050_4900,FUN_0050_4a05,FUN_0050_4c48,FUN_0050_537e
0050:46b2     FUN_0050_46b2                     1  FUN_0050_4660
0050:46b3     FUN_0050_46b3                   256  FUN_0050_4660
0050:47b8     FUN_0050_47b8                     8  FUN_0050_cc75,FUN_0050_da30,FUN_0050_e9d7,FUN_0050_ed85
0050:47cd     FUN_0050_47cd                    83  FUN_0050_46b3,FUN_0050_4820
0050:4820     FUN_0050_4820                   168  FUN_0050_b585,FUN_0050_bd13
0050:48d9     FUN_0050_48d9                    16  FUN_0050_47cd
0050:4900     FUN_0050_4900                   254  FUN_0050_bd13
0050:4a05     FUN_0050_4a05                   167  FUN_0050_b585,FUN_0050_b5ed
0050:4ab2     FUN_0050_4ab2                    36  FUN_0050_4a05
0050:4ad6     FUN_0050_4ad6                    27  FUN_0050_4a05
0050:4bb5     FUN_0050_4bb5                   128  FUN_0050_b5ed
0050:4c3f     FUN_0050_4c3f                     8  thunk_FUN_0050_4c3f
0050:4c48     FUN_0050_4c48                   327  FUN_0050_4bb5,FUN_0050_5c63
0050:4d8f     FUN_0050_4d8f                    20  FUN_0050_4900,FUN_0050_4c48,FUN_0050_587e
